FAMILLE,TICKET_ID,MOIS_VENTE,PRIX_NET,UNIVERS,MAILLE,LIBELLE,CLI_ID
PARFUMAGE,35381931,9,6.45,PARF_EAUX DE COLOGNE,PARF_PARFUM,EDC FRAICHEUR VERVEINE 125ML,800236914
SOINS DU VISAGE,35381931,9,3.95,VIS_CJOUR PUR,VIS_PUR,CR JOUR/NUIT PC pot50,800236914
SOINS DU VISAGE,35381931,9,2.45,VIS_DEMAQ PUR,VIS_PUR,LOTION FLORALE PC 200ML,800236914
SOINS DU VISAGE,35381931,9,2.45,VIS_DEMAQ PUR,VIS_PUR,LAIT DE TOILETTE PC 200ML,800236914
SOINS DU VISAGE,33500164,3,18.0,VIS_CNUIT AAAR,VIS_AAAR_HORS_DEMAQLOTION,CR ANTIAGE NT ELIXIR7.9 P40ml,800237724
SOINS DU VISAGE,33500164,3,19.9,VIS_CJOUR AAAR,VIS_AAAR_HORS_DEMAQLOTION,SOIN AA PxSENSIBLE ELIX Fl30ml,800237724
PARFUMAGE,33500164,3,3.5,PARF_EAUX PLAISIR NATURE,PARF_EDT,EDT PN2 PECHE 20ML,800237724
MAQUILLAGE,34355614,6,7.45,MAQ_YEUX Mascara Specifique,MAQ_YEUX_MASCA_EYEL_FARD,MASC VOLUME BRUN CN3 2009 5ML,800237724
MAQUILLAGE,34355614,6,3.95,MAQ_LEV AUTRES,MAQ_LEV_RAL_HMG,CRAYON LEVR BOIS/ROSE CN3 1G,800237724
SOINS DU VISAGE,34355614,6,5.95,VIS_LOTIONS AAAR,VIS_AAAR_DEMAQLOTION,LOTION SV 2010 FL200ML,800237724
SOINS DU CORPS,34921407,7,1.0,CORPS_SOIN PIEDS ET JAMBES,CORPS_HYDRA_NOURRI_ET_SOINS,SVC PIEDS PAST EFF RELAX,800237724
HYGIENE,34921407,7,4.9,HYG_DOUCHE PLAISIRNATURE,HYG_PLAISIRNAT_BAIN_SAVON,BD PECHE PN2 FL400ML,800237724
SOINS DU VISAGE,34921407,7,5.95,VIS_DEMAQ AAAR,VIS_AAAR_DEMAQLOTION,LAIT DEMAQ 2010 SV FL200ML,800237724
SOINS DU VISAGE,34921407,7,9.95,VIS_CJOUR AAAR,VIS_AAAR_HORS_DEMAQLOTION,C JR RIDES+ECLAT SV 50ml,800237724
SOINS DU VISAGE,35307210,9,26.0,VIS_CNUIT AAAR,VIS_AAAR_HORS_DEMAQLOTION,CREME NUIT AntiAge GLOBAL 50ml,800237724
MAQUILLAGE,35527237,9,4.75,MAQ_YEUX Sourcils,MAQ_YEUX_CLASSIQUE,CRAYON SOURCILS BRUN CN3 1.1G,800237724
HYGIENE,36166576,12,4.9,HYG_DOUCHE PLAISIRNATURE,HYG_PLAISIRNAT_BAIN_SAVON,BD COCO PN2 FL400ML,800237724
SOINS DU VISAGE,36166576,12,26.0,VIS_CNUIT AAAR,VIS_AAAR_HORS_DEMAQLOTION,CREME NUIT AntiAge GLOBAL 50ml,800237724
SOINS DU VISAGE,36166576,12,8.9,VIS_LOTIONS Jeunes Specifique,VIS_JEUNE_ET_LEVRE,LTN DERM/AP BIO.SPE.AC.SENS.150ML,800237724
HYGIENE,36166576,12,4.9,HYG_DOUCHE PLAISIRNATURE,HYG_PLAISIRNAT_BAIN_SAVON,BD PECHE PN2 FL400ML,800237724
SOINS DU VISAGE,36166576,12,7.3,VIS_DEMAQ BLEUET,VIS_AUTRES,DEMAQ EXPRESS PUR BLEUET FL125ML,800237724
CAPILLAIRES,33796650,4,2.95,CAP_SHAMP SPECIFIQUE,CAPILLAIRE_SHAMPOING,SVC DEMEL 3EN1 SH 300ML,800238011
CAPILLAIRES,33796650,4,2.95,CAP_SHAMP SPECIFIQUE,CAPILLAIRE_SHAMPOING,SVC DEMEL 3EN1 SH 300ML,800238011
PARFUMAGE,33796650,4,3.5,PARF_EAUX PLAISIR NATURE,PARF_EDT,EDT MANDARINE ITALIE PN 20ML,800238011
HYGIENE,33796650,4,2.45,HYG_DOUCHE PARFUMS,HYG_PARFUMEE,GD LILAS FP FL200ML,800238011
HYGIENE,33796650,4,2.45,HYG_DOUCHE PARFUMS,HYG_PARFUMEE,UMAJ GD MUGUET FL 200ML,800238011
CAPILLAIRES,34221277,5,5.9,CAP_SHAMP SPECIFIQUE,CAPILLAIRE_SHAMPOING,SVC DEMEL 3EN1 SH 300ML,800238011
PARFUMAGE,34221277,5,16.0,PARF_EAUX EDIT NOEL ETE,PARF_EDT,EDT  75ML COLLECTION ETE  2014,800238011
HYGIENE,34221277,5,2.45,HYG_DOUCHE PARFUMS,HYG_PARFUMEE,GD LILAS FP FL200ML,800238011
HYGIENE,34221277,5,2.95,HYG_DOUCHE PARFUMS,HYG_PARFUMEE,GD LILAS FP FL200ML,800238011
PARFUMAGE,34221277,5,26.0,PARF_EAUX PARFUMS,PARF_PARFUM,EDT  UN MATIN AU JARDIN  100ML  MUGUET,800238011
HYGIENE,34221277,5,4.9,HYG_DOUCHE PARFUMS,HYG_PARFUMEE,UMAJ GD MUGUET FL 200ML,800238011
HYGIENE,34768640,7,1.95,HYG_DOUCHE EDT ETE,HYG_MONOI_ET_EDIT_SPEC,GEL DOUCHE ETE 2014 200 ML,800238011
HYGIENE,34768640,7,1.95,HYG_DOUCHE EDT ETE,HYG_MONOI_ET_EDIT_SPEC,GEL DOUCHE ETE 2014 200 ML,800238011
SOINS DU VISAGE,34768640,7,5.0,VIS_DEMAQ AAAR,VIS_AAAR_DEMAQLOTION,25 LINGETTES DEFROISSANTES SV,800238011
SOINS DU VISAGE,34768640,7,5.0,VIS_DEMAQ AAAR,VIS_AAAR_DEMAQLOTION,25 LINGETTES DEFROISSANTES SV,800238011
CAPILLAIRES,35181606,8,2.95,CAP_SHAMP SPECIFIQUE,CAPILLAIRE_SHAMPOING,SVC DEMEL 3EN1 SH 300ML,800238011
PARFUMAGE,35181606,8,13.0,PARF_EAUX PARFUMS,PARF_PARFUM,EDT UN MATIN AU JARDIN 100ML LILAS,800238011
SOINS DU VISAGE,35181606,8,5.0,VIS_DEMAQ AAAR,VIS_AAAR_DEMAQLOTION,25 LINGETTES DEFROISSANTES SV,800238011
PARFUMAGE,35317134,9,13.0,PARF_EAUX PARFUMS,PARF_PARFUM,EDT  UN MATIN AU JARDIN  100ML  MUGUET,800238011
HYGIENE,35317134,9,2.45,HYG_DOUCHE PARFUMS,HYG_PARFUMEE,UMAJ GD MUGUET FL 200ML,800238011
MAQUILLAGE,35713992,10,6.95,MAQ_YEUX Fard,MAQ_YEUX_MASCA_EYEL_FARD,"FAP MONO 2013 CN3 2,5G BRUN CACAO",800238011
MAQUILLAGE,35713992,10,13.9,MAQ_YEUX Fard,MAQ_YEUX_MASCA_EYEL_FARD,"FAP MONO 2013 CN3   ARGENT  2,5G",800238011
PARFUMAGE,35891731,11,26.0,PARF_EAUX PARFUMS,PARF_PARFUM,EDT UN MATIN AU JARDIN 100ML LILAS,800238011
PARFUMAGE,35891731,11,26.0,PARF_EAUX PARFUMS,PARF_PARFUM,EDT  UN MATIN AU JARDIN  100ML  MUGUET,800238011
MAQUILLAGE,35891731,11,6.95,MAQ_YEUX Fard,MAQ_YEUX_MASCA_EYEL_FARD,"FAP MONO 2013 CN3   ANTHRACITE  2,5G",800238011
HYGIENE,36238460,12,2.45,HYG_DOUCHE PARFUMS,HYG_PARFUMEE,GD LILAS FP FL200ML,800238011
PARFUMAGE,36238460,12,13.0,PARF_EAUX PARFUMS,PARF_PARFUM,EDT UN MATIN AU JARDIN 100ML LILAS,800238011
SOINS DU VISAGE,33256953,1,3.5,VIS_DEMAQ BLEUET,VIS_AUTRES,DEMAQ EXPRESS PUR BLEUET FL125ML,800238582
SOINS DU VISAGE,34883012,7,3.65,VIS_DEMAQ BLEUET,VIS_AUTRES,DEMAQ EXPRESS PUR BLEUET FL125ML,800238582
SOINS DU VISAGE,35536179,9,3.6,VIS_DEMAQ BLEUET,VIS_AUTRES,DEMAQ EXPRESS PUR BLEUET FL125ML,800238582
SOINS DU CORPS,33170150,1,5.45,CORPS_HYDRA NOURRISANT,CORPS_HYDRA_NOURRI_ET_SOINS,SVC REP LAIT REP T150ML,800239150
SOINS DU CORPS,34027793,5,12.9,CORPS_EAUX CORPS AUTRES,CORPS_HYDR_LAIT_HUILE,EAU DE SOIN VEGETALE 100ML,800239150
SOINS DU CORPS,34329473,6,11.0,CORPS_PRODUITS MINCEUR,CORPS_SPA_ET_MINCEUR,GEL SOS DESTOCKANT FL 165ML,800239150
SOLAIRES,34904389,7,3.95,SOL_APRES SOLEIL,SOLAIRE,LAIT 3EN1 PROTECTYL AP SOL FL150,800239150
SOINS DU VISAGE,35988769,11,7.9,VIS_LOTIONS Jeunes Specifique,VIS_JEUNE_ET_LEVRE,NUTRI TONIQUE CONFORT F200ML,800239150
SOINS DU CORPS,33686684,3,2.95,CORPS_SOIN PIEDS ET JAMBES,CORPS_HYDRA_NOURRI_ET_SOINS,SVC PIEDS SOS P ECHAUF T50ML,800239942
HYGIENE,33686684,3,1.95,HYG_DOUCHE PARFUMS,HYG_PARFUMEE,GD LILAS FP FL200ML,800239942
SOINS DU CORPS,33686684,3,4.95,CORPS_LAIT HUILE PARFUMS,CORPS_HYDR_LAIT_HUILE,LAIT LILAS FP FL200ML,800239942
SOINS DU VISAGE,33686684,3,5.95,VIS_MASQUE Jeunes Specifique,VIS_JEUNE_ET_LEVRE,MASQ CONFORT EXTREM BIO SPEC75,800239942
HYGIENE,33686684,3,4.9,HYG_DOUCHE PLAISIRNATURE,HYG_PLAISIRNAT_BAIN_SAVON,BD FRAMBOISE PN2 FL400ML,800239942
MAQUILLAGE,33772186,4,3.9,MAQ_YEUX Crayons,MAQ_YEUX_CLASSIQUE,"CRAY KHOL NOIR 81 LUM4 1,3gr",800240306
MAQUILLAGE,34201596,5,1.95,MAQ_YEUX Crayons,MAQ_YEUX_CLASSIQUE,"CRAY KHOL NOIR 81 LUM4 1,3gr",800240306
SOINS DU CORPS,35029035,8,5.0,CORPS_HYDRA NOURRISANT,CORPS_HYDRA_NOURRI_ET_SOINS,SVC REP LAIT REP T150ML,800240306
MAQUILLAGE,35436284,9,1.95,MAQ_YEUX Crayons,MAQ_YEUX_CLASSIQUE,"CRAY KHOL NOIR 81 LUM4 1,3gr",800240306
PARFUMAGE,34180327,5,24.9,PARF_EAUX PARFUMS,PARF_PARFUM,EDT L'EAU MOMENT DE BONHEUR 50ML,800240982
SOINS DU CORPS,34832291,7,13.95,CORPS_PRODUITS MINCEUR,CORPS_SPA_ET_MINCEUR,ACTION ANTI-CELLULITE 150ML,800240982
SOINS DU CORPS,34832291,7,4.95,CORPS_EAUX CORPS MONOI,CORPS_MONOI,MONOI EAU HYDRA PARF FP 125 ML,800240982
SOINS DU CORPS,36296688,12,4.95,CORPS_SOIN PIEDS ET JAMBES,CORPS_HYDRA_NOURRI_ET_SOINS,SVC PIEDS BAUME REP T50ml,800240982
SOINS DU VISAGE,36296688,12,24.5,VIS_CJOUR AAAR,VIS_AAAR_HORS_DEMAQLOTION,CR FONDAMENTALE JOUR AAG 50ml,800240982
SOINS DU VISAGE,33769251,4,14.0,VIS_CJOUR AAAR,VIS_AAAR_HORS_DEMAQLOTION,REPACK AR BIEN JOUR RC2 P 50ml,800241031
HYGIENE,33769251,4,1.5,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD JDM4 GRENADE FL200ML,800241031
SOINS DU VISAGE,33769251,4,5.9,VIS_DEMAQ AAAR,VIS_AAAR_DEMAQLOTION,EAU MICELLAIRE 3 THES FL200ML,800241031
SOINS DU VISAGE,33769251,4,5.9,VIS_DEMAQ AAAR,VIS_AAAR_DEMAQLOTION,EAU MICELLAIRE 3 THES FL200ML,800241031
PARFUMAGE,33797853,4,3.5,PARF_EAUX PLAISIR NATURE,PARF_EDT,EDT FRAMBOISE PN 20ML,800242336
PARFUMAGE,33797853,4,12.9,PARF_EAUX PARFUMS,PARF_PARFUM,EDT  UMAJ  100ML  CERISIERS EN FLEURS,800242336
PARFUMAGE,34755423,7,15.9,PARF_EAUX PARFUMS,PARF_PARFUM,EVIDENCE L' EAU 75ML,800242336
PARFUMAGE,35329577,9,3.5,PARF_EAUX PLAISIR NATURE,PARF_EDT,EDT VANILLE PN2 20ML,800242336
PARFUMAGE,35329577,9,3.5,PARF_EAUX PLAISIR NATURE,PARF_EDT,EDT FRAISE PN2 20ML,800242336
PARFUMAGE,34823865,7,6.45,PARF_EAUX DE COLOGNE,PARF_PARFUM,FRAICHEUR CHEVREF EDC 125ML,800243928
MAQUILLAGE,34823865,7,9.0,MAQ_TEINT Poudres,MAQ_TEINT,POUDRE LIBRE TRANSP/ROSEE CN3 20,800243928
PARFUMAGE,34823892,7,6.45,PARF_EAUX DE COLOGNE,PARF_PARFUM,FRAICHEUR CHEVREF EDC 125ML,800243928
PARFUMAGE,36064778,11,12.9,PARF_EAUX DE COLOGNE,PARF_PARFUM,FRAICHEUR CHEVREF EDC 125ML,800243928
MAQUILLAGE,36064778,11,8.95,MAQ_LEV RAL GrdRouge,MAQ_LEV_RAL_HMG,"RAL GRAND RGE MAUV/SUBT22 CN3 2013 3,7G",800243928
MAQUILLAGE,36483714,12,9.0,MAQ_TEINT Poudres,MAQ_TEINT,POUDRE LIBRE TRANSP/ROSEE CN3 20,800243928
SOINS DU VISAGE,33720482,3,16.9,VIS_CNUIT AAAR,VIS_AAAR_HORS_DEMAQLOTION,RIDES+FERMETE NUIT P50ml SV40,800244291
SOINS DU VISAGE,33720482,3,15.9,VIS_CJOUR AAAR,VIS_AAAR_HORS_DEMAQLOTION,RIDES+FERMETE JOUR P50ml SV40,800244291
MAQUILLAGE,34536191,6,4.95,MAQ_LEV AUTRES,MAQ_LEV_RAL_HMG,LIPLINER RETRACT ROUGE31 CN3 2013 0.3G,800244291
MAQUILLAGE,34536191,6,1.95,MAQ_YEUX Crayons,MAQ_YEUX_CLASSIQUE,"CRAY KHOL NOIR 81 LUM4 1,3gr",800244291
SOINS DU VISAGE,34536191,6,14.0,VIS_CJOUR AAAR,VIS_AAAR_HORS_DEMAQLOTION,RIDES+FERMETE JOUR P50ml SV40,800244291
SOINS DU VISAGE,36301546,12,9.95,VIS_CJOUR AAAR,VIS_AAAR_HORS_DEMAQLOTION,CR RESPLENDISS JR SPF20 SV50ml,800244291
SOINS DU VISAGE,36301546,12,10.95,VIS_CNUIT AAAR,VIS_AAAR_HORS_DEMAQLOTION,RIDES+ECLAT CR NUIT P50ml SV40,800244291
SOINS DU VISAGE,34807514,7,2.95,VIS_DEMAQ PUR,VIS_PUR,LINGETTES CALMILLE 2013,800245347
CAPILLAIRES,33335510,2,5.9,CAP_SHAMP SPECIFIQUE,CAPILLAIRE_SHAMPOING,SVC REFLETS SH REF DOR FL200ML,800245957
SOINS DU CORPS,33480934,2,2.95,CORPS_SOIN PIEDS ET JAMBES,CORPS_HYDRA_NOURRI_ET_SOINS,SVC PIEDS SOS P ECHAUF T50ML,800245957
HYGIENE,33480934,2,2.45,HYG_DOUCHE PARFUMS,HYG_PARFUMEE,UMAJ GD CERISIERS FL200ML,800245957
HYGIENE,33953723,4,3.9,HYG_DOUCHE EDT ETE,HYG_MONOI_ET_EDIT_SPEC,GEL DOUCHE ETE 2014 200 ML,800245957
MAQUILLAGE,34286740,5,5.45,MAQ_TEINT Poudres,MAQ_TEINT,PC TEINT BEIGE MOYEN  10G LUMINELLE 4,800245957
MAQUILLAGE,34657365,7,1.65,MAQ_ONG Vernis LUM,MAQ_ONGLES,VAO ROSE14 IT/COL FEV14 LUM4 3ML,800245957
MAQUILLAGE,34657365,7,3.95,MAQ_LEV BRILLANT,MAQ_LEV_BASPRIX,"GLOSS ROSE LEGER 11 LUM4 4,5ML",800245957
MAQUILLAGE,34830235,7,1.65,MAQ_ONG Vernis LUM,MAQ_ONGLES,VAO TOPCO ARGEN NACR IT/COL FEV14 L4 3ML,800245957
HYGIENE,35075130,8,1.5,HYG_DOUCHE JARDINMONDE,HYG_JDM,CD JDM4 MAGNOLIA FL 200ML,800245957
HYGIENE,35671674,10,3.95,HYG_DOUCHE PLAISIRNATURE,HYG_PLAISIRNAT_BAIN_SAVON,GD GOMMANT PECHE T200 ML,800245957
SOINS DU VISAGE,33480943,2,19.9,VIS_CJOUR AAAR,VIS_AAAR_HORS_DEMAQLOTION,CR AA JR PxSECHE ELIXIR P40ml,800246220
MAQUILLAGE,35345732,9,5.95,MAQ_LEV RAL Brillance,MAQ_LEV_RAL_HMG,RAL BRILL ROSE COCKTAIL32 CN3 3.5G,800246220
SOINS DU CORPS,33036588,1,5.45,CORPS_HYDRA NOURRISANT,CORPS_HYDRA_NOURRI_ET_SOINS,SVC REP LAIT REP T150ML,800246296
MAQUILLAGE,33036588,1,1.95,MAQ_YEUX Crayons,MAQ_YEUX_CLASSIQUE,"CRAY KHOL NOIR 81 LUM4 1,3gr",800246296
SOINS DU CORPS,34550865,6,2.95,CORPS_SOIN PIEDS ET JAMBES,CORPS_HYDRA_NOURRI_ET_SOINS,SVC pieds gommage T50ml,800246296
SOINS DU CORPS,34550865,6,2.95,CORPS_SOIN PIEDS ET JAMBES,CORPS_HYDRA_NOURRI_ET_SOINS,SVC PIEDS SOS P ECHAUF T50ML,800246296
HYGIENE,34550865,6,4.9,HYG_DOUCHE PLAISIRNATURE,HYG_PLAISIRNAT_BAIN_SAVON,BD COCO PN2 FL400ML,800246296
SOINS DU CORPS,34550865,6,1.5,CORPS_LAIT HUILE PLAISIRNATURE,CORPS_HYDR_LAIT_HUILE,LAIT VANILLE PN2 FL50ML,800246296
SOINS DU CORPS,34550865,6,5.5,CORPS_SOIN DES MAINS,CORPS_HYDRA_NOURRI_ET_SOINS,CREME MAINS VANILLE PN2 FP200ML,800246296
PARFUMAGE,34550865,6,7.0,PARF_EAUX PLAISIR NATURE,PARF_EDT,EDT VANILLE PN2 20ML,800246296
PARFUMAGE,34550865,6,3.5,PARF_EAUX PLAISIR NATURE,PARF_EDT,EDT NOIX DE COCO PN2 20ML,800246296
SOINS DU CORPS,34550865,6,3.95,CORPS_SOIN PIEDS ET JAMBES,CORPS_HYDRA_NOURRI_ET_SOINS,SVC pieds cr nourr T50ml,800246296
HYGIENE,34682112,7,1.5,HYG_DOUCHE PLAISIRNATURE,HYG_PLAISIRNAT_BAIN_SAVON,BD COCO PN2 FL50ML,800246296
SOINS DU CORPS,34682112,7,5.5,CORPS_SOIN DES MAINS,CORPS_HYDRA_NOURRI_ET_SOINS,CREME MAINS VANILLE PN2 FP200ML,800246296
HYGIENE,34682112,7,1.5,HYG_DOUCHE PLAISIRNATURE,HYG_PLAISIRNAT_BAIN_SAVON,BD FRAISE PN2 FL50ML,800246296
PARFUMAGE,34682112,7,7.9,PARF_EAUX PLAISIR NATURE,PARF_EDT,EDT NOIX DE COCO PN 100ML VPM,800246296
HYGIENE,33033021,1,2.95,HYG_DEO CULTURE BIO,HYG_CULTUREBIO,BIO DEO FRAICHEUR BILLE FL50ML,800246494
SOINS DU VISAGE,33033021,1,3.35,VIS_MASQUE Jeunes Specifique,VIS_JEUNE_ET_LEVRE,MASQUE AQUA TONIC RAISIN T50ml,800246494
HYGIENE,33033021,1,1.75,HYG_SAVONS,HYG_PLAISIRNAT_BAIN_SAVON,RECH GEL DOUC MAINS HAMAMELIS 250ML,800246494
HYGIENE,33033021,1,1.75,HYG_SAVONS,HYG_PLAISIRNAT_BAIN_SAVON,RECH GEL DOUC MAINS HAMAMELIS 250ML,800246494
SOINS DU VISAGE,33463963,2,3.6,VIS_DEMAQ BLEUET,VIS_AUTRES,DEMAQ EXPRESS PUR BLEUET FL125ML,800246494
SOINS DU CORPS,34183792,5,5.0,CORPS_HYDRA NOURRISANT,CORPS_HYDRA_NOURRI_ET_SOINS,SVC HYDRA NOURRIST Fl200ml,800246494
HYGIENE,34183792,5,5.0,HYG_SAVONS,HYG_PLAISIRNAT_BAIN_SAVON,SAVON AVOINE PN2 300G VPM,800246494
HYGIENE,34183792,5,3.5,HYG_SAVONS,HYG_PLAISIRNAT_BAIN_SAVON,RECH GEL DOUC MAINS HAMAMELIS 250ML,800246494
HYGIENE,34517706,6,5.85,HYG_DOUCHE CULTUREBIO,HYG_CULTUREBIO,BIO GD FRAICHEUR FL200ML,800246494
MAQUILLAGE,35476368,9,8.95,MAQ_YEUX Mascara Specifique,MAQ_YEUX_MASCA_EYEL_FARD,MASCARA LONG BRUN 02 CN3 8ML,800246494
SOINS DU VISAGE,35476368,9,5.95,VIS_MASQUE Jeunes Specifique,VIS_JEUNE_ET_LEVRE,MASQUE HYDRA VEGETAL T75ML,800246494
SOINS DU VISAGE,35499659,9,6.95,VIS_MASQUE Jeunes Specifique,VIS_JEUNE_ET_LEVRE,MASQUE HYDRA VEGETAL T75ML,800246494
SOINS DU VISAGE,35499659,9,3.95,VIS_DEMAQ BLEUET,VIS_AUTRES,DEMAQ EXPRESS PUR BLEUET FL125ML,800246494
MAQUILLAGE,35546204,9,8.95,MAQ_YEUX Mascara Specifique,MAQ_YEUX_MASCA_EYEL_FARD,MASCARA LONG NOIR 01 CN3 8ML,800246494
MAQUILLAGE,35546204,9,8.95,MAQ_YEUX Mascara Specifique,MAQ_YEUX_MASCA_EYEL_FARD,MASCARA LONG BRUN 02 CN3 8ML,800246494
MAQUILLAGE,35546204,9,8.95,MAQ_YEUX Mascara SexyPulp,MAQ_YEUX_MASCA_EYEL_FARD,MASC SEXYPULP BLEU 03 CN3 9ML,800246494
MAQUILLAGE,35556031,9,19.95,MAQ_YEUX Fard,MAQ_YEUX_MASCA_EYEL_FARD,QUATUOR FAP GRIS PROF01 2014 CN3 4x1.2G,800246494
MAQUILLAGE,35556031,9,19.95,MAQ_YEUX Fard,MAQ_YEUX_MASCA_EYEL_FARD,"QUATUOR FAP ROSE RAFFI05 2014 CN3 4x1,2G",800246494
SOINS DU CORPS,35815218,10,5.45,CORPS_HYDRA NOURRISANT,CORPS_HYDRA_NOURRI_ET_SOINS,SVC REP LAIT REP T150ML,800246494
SOINS DU VISAGE,35815218,10,5.95,VIS_MASQUE Jeunes Specifique,VIS_JEUNE_ET_LEVRE,MASQUE HYDRA VEGETAL T75ML,800246494
SOINS DU VISAGE,35815218,10,5.95,VIS_DEMAQ AAAR,VIS_AAAR_DEMAQLOTION,EAU MICELLAIRE 3 THES FL200ML,800246494
SOINS DU VISAGE,35968444,11,6.95,VIS_MASQUE Jeunes Specifique,VIS_JEUNE_ET_LEVRE,MASQUE HYDRA VEGETAL T75ML,800246494
SOINS DU VISAGE,36060513,11,5.95,VIS_MASQUE Jeunes Specifique,VIS_JEUNE_ET_LEVRE,MASQUE HYDRA VEGETAL T75ML,800246494
MAQUILLAGE,33141067,1,3.95,MAQ_YEUX Mascara Basic,MAQ_YEUX_CLASSIQUE,"MASCARA BEAUTE NOIR 81 LUM4 6,5ML",800247236
SOINS DU CORPS,33490114,2,6.0,CORPS_HYDRA NOURRISANT,CORPS_HYDRA_NOURRI_ET_SOINS,SVC FERM 2en1 HYD FERM Fl200ml,800247236
SOINS DU CORPS,33784641,4,3.9,CORPS_SOIN DES MAINS,CORPS_HYDRA_NOURRI_ET_SOINS,SVC CREME QUOTIDIENNE T75ml,800247236
SOINS DU VISAGE,34150643,5,2.5,VIS_DEMAQ PUR,VIS_PUR,LINGETTES CALMILLE 2013,800247236
MAQUILLAGE,34150643,5,7.9,MAQ_YEUX Mascara Basic,MAQ_YEUX_CLASSIQUE,"MASCARA BEAUTE NOIR 81 LUM4 6,5ML",800247236
SOINS DU VISAGE,35108384,8,4.0,VIS_CJOUR PUR,VIS_PUR,CR JOUR/NUIT PC pot50,800247236
SOINS DU VISAGE,36032825,11,1.95,VIS_SOIN LEVRES,VIS_JEUNE_ET_LEVRE,BAUME LEVRES REPAIR 4G,800247236
SOINS DU VISAGE,33467576,2,10.0,VIS_DEMAQ AAAR,VIS_AAAR_DEMAQLOTION,25 LINGETTES DEFROISSANTES SV,800247377
CAPILLAIRES,34440096,6,2.45,CAP_SHAMP TSCHEVEUX,CAPILLAIRE_SHAMPOING,REPACK SHP BRIL ECOLABEL 300ML,800247377
SOINS DU CORPS,35089912,8,5.0,CORPS_HYDRA NOURRISANT,CORPS_HYDRA_NOURRI_ET_SOINS,SVC 3en1  nutritotal T150ml,800247377
SOINS DU CORPS,35366974,9,1.95,CORPS_SOIN DES MAINS,CORPS_HYDRA_NOURRI_ET_SOINS,SVC CREME QUOTIDIENNE T75ml,800247377
SOINS DU VISAGE,36104973,12,5.9,VIS_DEMAQ AAAR,VIS_AAAR_DEMAQLOTION,25 LINGETTES DEFROISSANTES SV,800247377
HYGIENE,36199103,12,2.55,HYG_DOUCHE JARDINMONDE,HYG_JDM,CD JDM4 AMANDE  FL 200ML,800247377
HYGIENE,36199103,12,2.55,HYG_DOUCHE JARDINMONDE,HYG_JDM,GD JDM4 LOTUS FL200ML,800247377
HYGIENE,36199103,12,2.55,HYG_DOUCHE JARDINMONDE,HYG_JDM,CD JDM4 COTON  FL 200ML,800247377
PARFUMAGE,32973551,1,20.25,PARF_EAUX HOMMES,PARF_HOMME,EDT 100ML   AMBRE NOIR,800247591
SOINS DU CORPS,33662339,3,1.9,CORPS_SOIN DES MAINS,CORPS_HYDRA_NOURRI_ET_SOINS,SVC CREME QUOTIDIENNE T75ml,800247591
SOLAIRES,34418272,6,11.75,SOL_PROTECTEURS SOLAIRES,SOLAIRE,SPRAY 3EN1 IP30 FL150 PROT VEG,800247591
SOLAIRES,34898809,7,5.95,SOL_APRES SOLEIL,SOLAIRE,AMPLI PROTECTYL APSOL FLP150,800247591
SOINS DU CORPS,34898809,7,5.45,CORPS_EXFOLIANT CORPS,CORPS_SPA_ET_MINCEUR,BIO GOMMAGE  CORPS T150ML,800247591
SOINS DU CORPS,35776324,10,1.95,CORPS_SOIN DES MAINS,CORPS_HYDRA_NOURRI_ET_SOINS,SVC CREME QUOTIDIENNE T75ml,800247591
SOINS DU CORPS,33911325,4,11.45,CORPS_HYDRA NOURRISANT,CORPS_HYDRA_NOURRI_ET_SOINS,BAUME TRAD DE HAM P150ml,800247755
HYGIENE,32964248,1,7.9,HYG_RASAGE,HYG_HOMME,MOUSSE A RASER SENSITIVE,800248143
SOINS DU VISAGE,32964248,1,8.9,VIS_DEMAQ Jeunes Specifique,VIS_JEUNE_ET_LEVRE,LAIT DEM BIO.SPE.AC.SENS.150ML,800248143
SOINS DU VISAGE,33325748,2,4.95,VIS_DEMAQ Jeunes Specifique,VIS_JEUNE_ET_LEVRE,NETTOYANT DESINCRUSTANT 125ML,800248143
HYGIENE,33325748,2,6.0,HYG_DEO HOMMES,HYG_HOMME,DEO SPRAY EVIDENCE HOMME 100ML,800248143
HYGIENE,33325748,2,6.0,HYG_DEO HOMMES,HYG_HOMME,DEO SPRAY EVIDENCE HOMME 100ML,800248143
HYGIENE,33325748,2,9.9,HYG_DOUCHE HOMMES,HYG_HOMME,GD EVIDENCE HOMME T200ML,800248143
SOINS DU VISAGE,33325748,2,3.45,VIS_DEMAQ Jeunes Specifique,VIS_JEUNE_ET_LEVRE,GEL NETT HYDRA VEG T125ML,800248143
HYGIENE,33325748,2,4.9,HYG_DOUCHE AUTRES,HYG_AUTRES,DCHE 2EN1 HAMAMELIS FL300,800248143
SOINS DU VISAGE,33403520,2,7.95,VIS_MASQUE AAAR,VIS_AAAR_HORS_DEMAQLOTION,MASQ FLASH DES ASPHYX CS 50ML,800248143
SOINS DU VISAGE,33403520,2,5.95,VIS_MASQUE Jeunes Specifique,VIS_JEUNE_ET_LEVRE,MASQUE PURETE SEBOVEGETAL 75ML,800248143
